order_book_id,date,limit_up,num_trades,close,high,volume,limit_down,open,low,total_turnover,turnover_rate
002186.XSHE,2016-01-04,56.6103,3469.0,46.3399,51.6876,1508620.0,46.3175,51.6876,46.3175,66251930.21,1.0746
002186.XSHE,2016-01-05,50.9716,4027.0,45.87,47.2573,2083045.5,41.7081,44.3037,44.3037,85212076.66,1.4838
002186.XSHE,2016-01-06,50.457,2802.0,46.9664,47.0335,1414154.5,41.283,45.9147,45.9147,58897751.58,1.0074
002186.XSHE,2016-01-07,51.6653,933.0,42.9835,46.2951,522750.0,42.2675,46.2951,42.6031,20780169.49,0.3724
002186.XSHE,2016-01-08,47.2796,3703.0,43.8562,44.7512,2255030.5,38.6874,44.4827,42.0214,88153431.37,1.6063
002186.XSHE,2016-01-11,48.2418,4694.0,40.9921,43.4758,2414052.0,39.4706,42.5584,40.6788,90833672.13,1.7196
002186.XSHE,2016-01-12,45.0868,2720.0,41.5739,41.7752,1524328.0,36.8974,41.0592,40.2761,56170271.24,1.0858
002186.XSHE,2016-01-13,45.7357,2441.0,40.6565,42.1556,1305650.5,37.412,41.6857,40.5222,48416252.58,0.9301
002186.XSHE,2016-01-14,44.7288,2740.0,41.4844,41.6634,1537587.0,36.5841,39.8286,39.5153,56039864.74,1.0953
002186.XSHE,2016-01-15,45.6238,2487.0,40.3656,41.7529,1201685.5,37.3449,41.3949,40.0523,43975456.52,0.856
002186.XSHE,2016-01-18,44.3932,1913.0,40.9921,41.3054,1019541.0,36.338,39.8957,39.6048,37061399.74,0.7263
002186.XSHE,2016-01-19,45.0868,2798.0,42.178,42.4465,1614209.5,36.8974,40.9473,40.6788,60177136.11,1.1499
002186.XSHE,2016-01-20,46.407,2769.0,41.3725,42.4241,1240012.0,37.9714,42.0214,41.2382,46306869.5,0.8833
002186.XSHE,2016-01-21,45.512,2427.0,40.2537,41.7752,1144016.0,37.233,40.925,40.2537,41847207.08,0.8149
002186.XSHE,2016-01-22,44.2813,1966.0,40.7683,41.0592,980288.5,36.2261,40.7236,39.7614,35522086.64,0.6983
002186.XSHE,2016-01-25,44.8407,1767.0,41.1711,41.5515,811843.0,36.696,41.1711,40.8578,29903002.02,0.5783
002186.XSHE,2016-01-26,45.2882,3501.0,39.3587,41.6186,1577485.0,37.054,40.7236,38.7098,57122703.08,1.1237
002186.XSHE,2016-01-27,43.2968,2917.0,39.2021,39.7391,1750592.5,35.4206,39.7167,37.5686,60542626.71,1.247
002186.XSHE,2016-01-28,43.1178,1686.0,38.486,39.4482,673870.5,35.2863,38.8217,38.2623,23396927.63,0.48
002186.XSHE,2016-01-29,42.3346,2353.0,40.0076,40.2761,1332995.5,34.6374,38.665,38.665,47164795.97,0.9495
002186.XSHE,2016-02-01,44.0128,1511.0,39.4258,39.9852,788517.0,36.0023,39.7614,39.1125,27890526.77,0.5617
002186.XSHE,2016-02-02,43.3639,1759.0,40.4103,40.7236,831662.0,35.4877,39.5824,39.3811,29956071.69,0.5924
002186.XSHE,2016-02-03,44.4603,1461.0,40.7907,40.8578,634658.0,36.3604,40.0299,39.7838,22890912.8,0.4521
002186.XSHE,2016-02-04,44.8631,2643.0,41.4172,41.5291,1156395.0,36.7184,40.8355,40.8355,42644660.48,0.8237
002186.XSHE,2016-02-05,45.5567,1599.0,40.7907,41.9095,787464.5,37.2777,41.4396,40.746,29053361.41,0.5609
002186.XSHE,2016-02-15,44.8631,1546.0,40.5222,40.7683,742884.0,36.7184,39.3139,39.2916,26640757.71,0.5292
002186.XSHE,2016-02-16,44.5722,2192.0,41.7752,42.0661,1065420.5,36.4722,40.5222,40.5222,39414000.45,0.7589
002186.XSHE,2016-02-17,45.9595,1935.0,41.7529,41.9542,950803.5,37.591,41.5515,41.1264,35309984.76,0.6773
002186.XSHE,2016-02-18,45.9371,1968.0,41.5067,42.1556,1040710.0,37.5686,41.8871,41.4172,38831334.5,0.7413
002186.XSHE,2016-02-19,45.6686,1531.0,41.5067,41.7976,861502.0,37.3673,41.3949,41.1711,31921835.5,0.6137
002186.XSHE,2016-02-22,45.6686,2260.0,42.1556,42.4465,1474576.5,37.3673,41.7305,41.5067,55317176.42,1.0504
002186.XSHE,2016-02-23,46.3622,2146.0,41.7305,42.4018,1044829.0,37.949,41.999,41.3501,39109560.12,0.7443
002186.XSHE,2016-02-24,45.9147,2181.0,42.2004,42.2899,1269178.0,37.5686,41.5739,41.3054,47379674.46,0.9041
002186.XSHE,2016-02-25,46.4294,3004.0,39.8509,42.1556,1641635.0,37.9714,42.1556,39.1573,59751171.09,1.1694
002186.XSHE,2016-02-26,43.8338,2221.0,41.1487,41.3949,1356535.0,35.8681,40.4327,39.6272,49152511.59,0.9663
002186.XSHE,2016-02-29,45.2658,2094.0,39.7167,41.2159,1175150.0,37.0316,40.8131,38.844,41741955.85,0.8371
002186.XSHE,2016-03-01,43.6995,1809.0,40.0523,40.1866,1137079.0,35.7562,39.6943,39.1573,40555564.03,0.81
002186.XSHE,2016-03-02,44.0576,3447.0,41.7752,41.9542,1977535.5,36.0471,40.0299,39.9628,72332175.07,1.4087
002186.XSHE,2016-03-03,45.9595,2824.0,41.3501,42.0214,1502153.5,37.591,41.5067,41.3054,55943783.69,1.07
002186.XSHE,2016-03-04,45.4896,3780.0,40.8355,42.0214,1534977.0,37.2106,41.283,40.4327,56730530.72,1.0934
002186.XSHE,2016-03-07,44.9302,3399.0,41.8424,41.8424,1556909.0,36.7631,41.0369,41.0369,57655726.19,1.109
002186.XSHE,2016-03-08,46.0266,3846.0,41.3725,41.82,1510157.5,37.6581,41.82,40.0523,55114262.55,1.0757
