order_book_id,date,limit_up,num_trades,close,high,volume,limit_down,open,low,total_turnover,turnover_rate
300648.XSHE,2017-04-25,0.0,12.0,22.67,22.67,4000.0,0.0,18.89,18.89,89357.0,0.0235
300648.XSHE,2017-04-26,24.94,3.0,24.94,24.94,700.0,20.4,24.94,24.94,17458.0,0.0041
300648.XSHE,2017-04-27,27.43,4.0,27.43,27.43,1700.0,22.45,27.43,27.43,46631.0,0.01
300648.XSHE,2017-04-28,30.17,4.0,30.17,30.17,1100.0,24.69,30.17,30.17,33187.0,0.0065
300648.XSHE,2017-05-02,33.19,15.0,33.19,33.19,4812.0,27.15,33.19,33.19,159710.28,0.0283
300648.XSHE,2017-05-03,36.51,16.0,36.51,36.51,6000.0,29.87,36.51,36.51,219060.0,0.0353
300648.XSHE,2017-05-04,40.16,54.0,40.16,40.16,16800.0,32.86,40.16,40.16,674688.0,0.0988
300648.XSHE,2017-05-05,44.18,115.0,44.18,44.18,37611.0,36.14,44.18,44.18,1661653.98,0.2212
300648.XSHE,2017-05-08,48.6,176.0,48.6,48.6,59724.0,39.76,48.6,48.6,2902586.4,0.3513
300648.XSHE,2017-05-09,53.46,651.0,53.46,53.46,229468.0,43.74,53.46,53.46,12267359.28,1.3498
300648.XSHE,2017-05-10,58.81,845.0,58.81,58.81,356224.0,48.11,58.81,58.81,20949533.44,2.0954
300648.XSHE,2017-05-11,64.69,38029.0,60.31,62.67,11109308.0,52.93,59.0,55.88,657334540.08,65.3489
300648.XSHE,2017-05-12,66.34,21087.0,57.2,59.1,8452322.0,54.28,59.08,54.88,482613885.38,49.7195
300648.XSHE,2017-05-15,62.92,19829.0,61.0,62.92,9576164.0,51.48,60.51,60.15,591398237.89,56.3304
300648.XSHE,2017-05-16,67.1,15257.0,62.02,63.25,7691247.0,54.9,59.57,58.2,465526759.04,45.2426
300648.XSHE,2017-05-17,68.22,16226.0,59.98,66.0,7064128.0,55.82,63.1,59.74,443866030.78,41.5537
300648.XSHE,2017-05-18,65.98,9797.0,58.3,61.97,4341920.0,53.98,59.12,58.3,260228606.15,25.5407
300648.XSHE,2017-05-19,64.13,9703.0,55.04,59.65,4312528.0,52.47,58.4,55.03,245542899.06,25.3678
300648.XSHE,2017-05-22,60.54,8642.0,49.91,55.57,4387817.0,49.54,55.0,49.54,230351114.66,25.8107
300648.XSHE,2017-05-23,54.9,5893.0,48.99,51.2,3048104.0,44.92,49.7,47.56,151087235.67,17.93
300648.XSHE,2017-05-24,53.89,5410.0,50.5,50.98,2856422.0,44.09,48.7,48.0,142639342.77,16.8025
300648.XSHE,2017-05-25,55.55,6769.0,49.35,50.49,3517019.0,45.45,50.05,46.34,170049102.11,20.6883
300648.XSHE,2017-05-26,54.29,5645.0,50.1,51.2,2930951.0,44.42,49.0,48.63,146339351.35,17.2409
300648.XSHE,2017-05-31,55.11,7092.0,49.94,54.9,4080106.0,45.09,52.15,49.8,213430505.43,24.0006
300648.XSHE,2017-06-01,54.93,6630.0,44.95,48.5,3482459.0,44.95,48.06,44.95,162071699.97,20.4851
300648.XSHE,2017-06-02,49.45,4103.0,45.38,46.2,2239562.0,40.46,44.0,43.63,100618032.57,13.1739
300648.XSHE,2017-06-05,49.92,4213.0,45.64,47.44,2358211.0,40.84,46.45,45.51,109681142.04,13.8718
300648.XSHE,2017-06-06,50.2,2500.0,45.51,45.95,1559602.0,41.08,44.71,44.71,70506142.52,9.1741
300648.XSHE,2017-06-07,50.06,4628.0,47.53,48.47,2467751.0,40.96,45.63,45.56,116494228.81,14.5162
300648.XSHE,2017-06-08,52.28,4003.0,47.59,48.4,2094828.0,42.78,47.5,46.58,99796573.56,12.3225
300648.XSHE,2017-06-09,52.35,2319.0,47.05,47.67,1352783.0,42.83,47.58,46.66,63563055.95,7.9575
300648.XSHE,2017-06-12,51.76,3816.0,43.5,46.3,1766695.0,42.35,45.99,43.02,79286123.21,10.3923
300648.XSHE,2017-06-13,47.85,4371.0,47.85,47.85,2396966.0,39.15,43.2,43.2,110204884.22,14.0998
