order_book_id,date,limit_up,num_trades,close,high,volume,limit_down,open,low,total_turnover,turnover_rate
603035.XSHG,2017-01-05,0.0,37.0,15.03,15.03,28855.0,0.0,12.53,12.53,433191.0,0.0412
603035.XSHG,2017-01-06,16.53,18.0,16.53,16.53,16016.0,13.53,16.53,16.53,264744.0,0.0229
603035.XSHG,2017-01-09,18.18,22.0,18.18,18.18,17013.0,14.88,18.18,18.18,309296.0,0.0243
603035.XSHG,2017-01-10,20.0,38.0,20.0,20.0,22703.0,16.36,20.0,20.0,454060.0,0.0324
603035.XSHG,2017-01-11,22.0,144.0,22.0,22.0,95010.0,18.0,22.0,22.0,2090220.0,0.1357
603035.XSHG,2017-01-12,24.2,43765.0,24.2,24.2,26630523.0,19.8,24.2,22.8,635097400.0,38.0436
603035.XSHG,2017-01-13,26.62,49583.0,22.58,24.38,34052876.0,21.78,22.51,22.02,782007188.0,48.647
603035.XSHG,2017-01-16,24.84,48991.0,24.84,24.84,45075030.0,20.32,22.5,22.21,1095264095.0,64.3929
603035.XSHG,2017-01-17,27.32,47101.0,27.32,27.32,44758454.0,22.36,24.8,23.88,1130637769.0,63.9406
603035.XSHG,2017-01-18,30.05,43630.0,24.59,26.39,33070727.0,24.59,26.32,24.59,841908491.0,47.2439
603035.XSHG,2017-01-19,27.05,28366.0,23.56,25.25,20251890.0,22.13,23.8,23.5,485720644.0,28.9313
603035.XSHG,2017-01-20,25.92,21633.0,23.85,24.47,18369911.0,21.2,23.5,23.42,440206820.0,26.2427
603035.XSHG,2017-01-23,26.24,17869.0,23.82,24.46,15818711.0,21.47,23.72,23.43,378600031.0,22.5982
603035.XSHG,2017-01-24,26.2,17525.0,22.52,23.63,15321501.0,21.44,23.51,22.41,350866307.0,21.8879
603035.XSHG,2017-01-25,24.77,12777.0,23.06,23.4,11601805.0,20.27,22.42,22.26,265581181.0,16.574
603035.XSHG,2017-01-26,25.37,9015.0,23.07,23.13,7723441.0,20.75,22.95,22.55,176518220.0,11.0335
603035.XSHG,2017-02-03,25.38,8950.0,23.05,23.36,7599719.0,20.76,23.13,22.57,174956726.0,10.8567
603035.XSHG,2017-02-06,25.36,26568.0,25.36,25.36,22696325.0,20.75,23.43,23.42,556511319.0,32.4233
603035.XSHG,2017-02-07,27.9,21970.0,24.96,25.26,16903384.0,22.82,25.0,24.44,419546775.0,24.1477
603035.XSHG,2017-02-08,27.46,32004.0,25.93,27.31,24602870.0,22.46,24.75,24.52,633436474.0,35.147
603035.XSHG,2017-02-09,28.52,21592.0,25.45,26.39,15960958.0,23.34,25.65,25.4,410357252.0,22.8014
603035.XSHG,2017-02-10,28.0,16587.0,24.63,25.42,13344342.0,22.91,25.28,24.52,331893497.0,19.0633
603035.XSHG,2017-02-13,27.09,20704.0,25.82,26.5,17386759.0,22.17,24.72,24.7,446355344.0,24.8382
603035.XSHG,2017-02-14,28.4,25875.0,26.72,27.27,21611341.0,23.24,26.2,25.6,573035538.0,30.8733
603035.XSHG,2017-02-15,29.39,38672.0,27.13,28.98,31183783.0,24.05,26.5,26.35,864608018.0,44.5483
603035.XSHG,2017-02-16,29.84,31241.0,28.2,28.27,25146147.0,24.42,26.26,26.06,679778940.0,35.9231
603035.XSHG,2017-02-17,31.02,30955.0,26.65,29.1,22672193.0,25.38,27.81,26.59,632672372.0,32.3888
603035.XSHG,2017-02-20,29.32,18239.0,26.17,26.5,13575667.0,23.99,26.5,25.21,350639720.0,19.3938
603035.XSHG,2017-02-21,28.79,16416.0,26.91,27.18,12870547.0,23.55,25.98,25.9,341232863.0,18.3865
603035.XSHG,2017-02-22,29.6,13925.0,26.58,27.15,11373580.0,24.22,26.7,26.1,301764332.0,16.248
603035.XSHG,2017-02-23,29.24,18823.0,27.15,27.53,14863765.0,23.92,26.3,26.1,399538798.0,21.234
603035.XSHG,2017-02-24,29.87,23237.0,28.02,28.2,19907522.0,24.44,26.88,26.75,550442558.0,28.4393
603035.XSHG,2017-02-27,30.82,18378.0,27.79,28.4,15155911.0,25.22,27.6,27.36,421160603.0,21.6513
603035.XSHG,2017-02-28,30.57,21275.0,28.37,28.53,17345115.0,25.01,27.55,26.8,480331800.0,24.7787
603035.XSHG,2017-03-01,31.21,16627.0,27.54,28.44,12304446.0,25.53,28.13,27.42,343877182.0,17.5778
603035.XSHG,2017-03-02,30.29,20137.0,27.86,28.5,15788786.0,24.79,27.55,27.42,442994990.0,22.5554
603035.XSHG,2017-03-03,30.65,12718.0,27.64,27.88,9859392.0,25.07,27.54,27.01,270355497.0,14.0848
603035.XSHG,2017-03-06,30.4,17570.0,28.48,28.68,14759045.0,24.88,27.58,27.58,417275305.0,21.0844
603035.XSHG,2017-03-07,31.33,23919.0,29.22,29.52,19596238.0,25.63,28.39,28.3,567087387.0,27.9946
603035.XSHG,2017-03-08,32.14,19872.0,29.44,29.54,15255930.0,26.3,29.0,28.61,442891350.0,21.7942
603035.XSHG,2017-03-09,32.38,23546.0,28.39,30.45,17603381.0,26.5,29.46,28.3,513918173.0,25.1477
603035.XSHG,2017-03-10,31.23,13926.0,28.04,28.48,10135980.0,25.55,28.04,27.8,284905631.0,14.48
603035.XSHG,2017-03-13,30.84,12483.0,28.46,28.48,8890914.0,25.24,28.0,27.3,248707222.0,12.7013
603035.XSHG,2017-03-14,31.31,14266.0,28.62,29.1,10827538.0,25.61,28.45,28.22,310809630.0,15.4679
603035.XSHG,2017-03-15,31.48,11437.0,28.2,28.48,8592979.0,25.76,28.4,27.9,242232615.0,12.2757
603035.XSHG,2017-03-16,31.02,19860.0,29.26,29.56,15222472.0,25.38,28.22,28.22,442980685.0,21.7464
603035.XSHG,2017-03-17,32.19,19971.0,28.14,29.48,15448077.0,26.33,29.14,28.0,444950940.0,22.0687
603035.XSHG,2017-03-20,30.95,11556.0,28.79,28.81,8907321.0,25.33,27.94,27.76,252334199.0,12.7247
603035.XSHG,2017-03-21,31.67,21100.0,29.66,29.83,17426336.0,25.91,28.7,28.61,510379259.0,24.8948
603035.XSHG,2017-03-22,32.63,23662.0,30.19,30.5,18140453.0,26.69,29.25,29.22,542607482.0,25.9149
603035.XSHG,2017-03-23,33.21,20304.0,29.39,30.3,14739422.0,27.17,30.0,28.56,434052350.0,21.0563
603035.XSHG,2017-03-24,32.33,18296.0,30.3,30.35,13547034.0,26.45,29.09,29.09,405195525.0,19.3529
603035.XSHG,2017-03-27,33.33,13670.0,29.99,30.77,10288515.0,27.27,30.45,29.49,309190759.0,14.6979
603035.XSHG,2017-03-28,32.99,12190.0,28.97,30.08,9058578.0,26.99,29.71,28.9,266932261.0,12.9408
603035.XSHG,2017-03-29,31.87,16289.0,27.04,29.19,12224979.0,26.07,29.02,26.9,340519250.0,17.4643
603035.XSHG,2017-03-30,29.74,12494.0,25.96,26.83,9134137.0,24.34,26.6,25.71,239390961.0,13.0488
603035.XSHG,2017-03-31,28.56,7351.0,25.87,26.39,5451649.0,23.36,25.99,25.51,141504106.0,7.7881
603035.XSHG,2017-04-05,28.46,6940.0,26.29,26.35,5226713.0,23.28,25.98,25.41,136222099.0,7.4667
603035.XSHG,2017-04-06,28.92,7515.0,26.31,26.87,5416018.0,23.66,26.16,26.16,143517384.0,7.7372
