order_book_id,date,limit_up,num_trades,close,high,volume,limit_down,open,low,total_turnover,turnover_rate
603171.XSHG,2021-06-30,19.2,342.0,19.2,19.2,201677.0,8.53,16.0,16.0,3862064.0,0.4969
603171.XSHG,2021-07-01,21.12,94.0,21.12,21.12,49206.0,17.28,21.12,21.12,1039231.0,0.1212
603171.XSHG,2021-07-02,23.23,262.0,23.23,23.23,138646.0,19.01,23.23,23.23,3220747.0,0.3416
603171.XSHG,2021-07-05,25.55,467.0,25.55,25.55,262398.0,20.91,25.55,25.55,6704269.0,0.6465
603171.XSHG,2021-07-06,28.11,720.0,28.11,28.11,404301.0,23.0,28.11,28.11,11364901.0,0.9961
603171.XSHG,2021-07-07,30.92,780.0,30.92,30.92,427603.0,25.3,30.92,30.92,13221485.0,1.0535
603171.XSHG,2021-07-08,34.01,590.0,34.01,34.01,295605.0,27.83,34.01,34.01,10053526.0,0.7283
603171.XSHG,2021-07-09,37.41,2182.0,37.41,37.41,1228502.0,30.61,37.41,37.41,45958260.0,3.0266
603171.XSHG,2021-07-12,41.15,57950.0,41.15,41.15,26222172.0,33.67,37.99,35.28,1016723754.0,64.6025
603171.XSHG,2021-07-13,45.27,2603.0,45.27,45.27,1985866.0,37.04,45.27,45.27,89900154.0,4.8925
603171.XSHG,2021-07-14,49.8,10723.0,49.8,49.8,6297096.0,40.74,48.8,46.47,305780894.0,15.5139
603171.XSHG,2021-07-15,54.78,18126.0,54.78,54.78,7823445.0,44.82,52.0,50.4,421014206.0,19.2743
603171.XSHG,2021-07-16,60.26,57531.0,49.45,60.26,21697263.0,49.3,56.99,49.3,1201190352.0,53.4547
603171.XSHG,2021-07-19,54.4,35469.0,54.4,54.4,14840541.0,44.51,49.5,48.0,756573930.0,36.5621
603171.XSHG,2021-07-20,59.84,35356.0,49.92,53.88,15816056.0,48.96,52.5,48.96,794969037.0,38.9654
603171.XSHG,2021-07-21,54.91,32922.0,46.65,49.12,15012925.0,44.93,48.97,46.3,713009178.0,36.9868
603171.XSHG,2021-07-22,51.32,23225.0,47.25,47.6,10281855.0,41.99,46.2,44.52,470268521.0,25.331
603171.XSHG,2021-07-23,51.98,20751.0,46.05,47.25,9412153.0,42.53,46.8,44.22,428815059.0,23.1884
603171.XSHG,2021-07-26,50.66,17487.0,45.79,48.1,8126219.0,41.45,45.7,45.12,377908068.0,20.0202
603171.XSHG,2021-07-27,50.37,18681.0,41.21,45.3,10784388.0,41.21,45.1,41.21,458973776.0,26.5691
603171.XSHG,2021-07-28,45.33,12404.0,38.0,41.21,7190078.0,37.09,41.21,37.86,279726831.0,17.7139
603171.XSHG,2021-07-29,41.8,10276.0,38.04,39.08,5781843.0,34.2,38.53,37.89,222166310.0,14.2445
603171.XSHG,2021-07-30,41.84,10658.0,36.76,37.87,5552949.0,34.24,36.95,36.36,205460062.0,13.6806
603171.XSHG,2021-08-02,40.44,8648.0,37.46,38.0,4911906.0,33.08,36.69,36.4,182484199.0,12.1013
603171.XSHG,2021-08-03,41.21,15696.0,39.0,39.6,6949951.0,33.71,37.99,37.55,268671738.0,17.1223
603171.XSHG,2021-08-04,42.9,14004.0,37.16,38.44,6879317.0,35.1,38.44,36.16,254170391.0,16.9483
603171.XSHG,2021-08-05,40.88,10890.0,35.38,36.99,5168723.0,33.44,36.51,35.29,186257345.0,12.734
603171.XSHG,2021-08-06,38.92,9354.0,34.74,35.95,4106360.0,31.84,35.95,34.16,143240564.0,10.1167
603171.XSHG,2021-08-09,38.21,10195.0,36.2,36.23,4369995.0,31.27,34.7,34.4,156122236.0,10.7662
603171.XSHG,2021-08-10,39.82,13654.0,37.52,39.28,5587437.0,32.58,36.03,35.73,209083413.0,13.7656
