order_book_id,date,limit_up,num_trades,close,high,volume,limit_down,open,low,total_turnover,turnover_rate
002628.XSHE,2016-01-04,0.0,0.0,28.0406,28.0406,0.0,0.0,28.0406,28.0406,0.0,0.0
002628.XSHE,2016-01-05,0.0,0.0,28.0406,28.0406,0.0,0.0,28.0406,28.0406,0.0,0.0
002628.XSHE,2016-01-06,0.0,0.0,28.0406,28.0406,0.0,0.0,28.0406,28.0406,0.0,0.0
002628.XSHE,2016-01-07,0.0,0.0,28.0406,28.0406,0.0,0.0,28.0406,28.0406,0.0,0.0
002628.XSHE,2016-01-08,0.0,0.0,28.0406,28.0406,0.0,0.0,28.0406,28.0406,0.0,0.0
002628.XSHE,2016-01-11,30.8635,22672.0,25.4812,30.186,16748234.4444,25.2554,25.2554,25.2554,439123104.37,9.4862
002628.XSHE,2016-01-12,28.0406,12308.0,26.3469,26.4598,8263122.7778,22.9218,25.2177,24.4273,203670468.63,4.6803
002628.XSHE,2016-01-13,28.9816,19083.0,27.8901,28.9439,12665001.9444,23.7122,25.9705,25.6694,335294494.89,7.1735
002628.XSHE,2016-01-14,30.6753,18603.0,28.5299,28.831,11838835.0,25.1048,27.3631,26.9867,318724185.59,6.7055
002628.XSHE,2016-01-15,31.3904,18051.0,27.2878,29.4709,9971175.0,25.6694,27.9277,26.5727,269286925.36,5.6477
002628.XSHE,2016-01-18,30.0354,21017.0,29.5461,29.7343,11788763.3333,24.5779,26.8362,25.9705,322779872.05,6.6772
002628.XSHE,2016-01-19,32.5196,30238.0,30.7882,31.8044,17612778.0556,26.5727,29.2074,28.7934,514850514.34,9.9759
002628.XSHE,2016-01-20,33.8746,19540.0,30.2613,30.9764,12393338.8889,27.7019,30.8258,29.9225,359967635.2,7.0196
002628.XSHE,2016-01-21,33.2723,31476.0,31.955,33.1218,19126377.5,27.2502,29.5838,29.3203,581148264.04,10.8332
002628.XSHE,2016-01-22,35.1543,25338.0,32.3314,33.1218,12594225.8333,28.7557,32.0303,31.3528,388659744.75,7.1334
002628.XSHE,2016-01-25,35.5683,21364.0,33.0842,33.8746,12560516.6667,29.0945,31.9174,31.6163,394747385.88,7.1143
002628.XSHE,2016-01-26,36.3963,24778.0,30.9388,34.1757,13880805.0,29.772,32.4443,30.4871,434403730.28,7.8621
002628.XSHE,2016-01-27,34.0251,17464.0,31.4657,31.8421,9821642.2222,27.8524,30.8635,28.417,282903552.57,5.563
002628.XSHE,2016-01-28,34.6273,13096.0,29.245,31.9174,6578596.6667,28.3041,31.4281,29.0568,193818493.95,3.7261
