order_book_id,date,limit_up,num_trades,close,high,volume,limit_down,open,low,total_turnover,turnover_rate
603982.XSHG,2019-05-22,0.0,116.0,14.1,14.1,83400.0,0.0,11.75,11.75,1175705.0,0.1668
603982.XSHG,2019-05-23,15.51,137.0,15.51,15.51,105622.0,12.69,15.51,15.51,1638197.0,0.2112
603982.XSHG,2019-05-24,17.06,184.0,17.06,17.06,137969.0,13.96,17.06,17.06,2353751.0,0.2759
603982.XSHG,2019-05-27,18.77,409.0,18.77,18.77,282500.0,15.35,18.77,18.77,5302525.0,0.565
603982.XSHG,2019-05-28,20.65,1751.0,20.65,20.65,1199130.0,16.89,20.65,20.65,24762035.0,2.3983
603982.XSHG,2019-05-29,22.72,2019.0,22.72,22.72,1407662.0,18.59,22.72,22.72,31982081.0,2.8153
603982.XSHG,2019-05-30,24.99,15106.0,24.99,24.99,13072310.0,20.45,24.99,24.33,326659102.0,26.1446
603982.XSHG,2019-05-31,27.49,4283.0,27.49,27.49,3227291.0,22.49,27.49,27.49,88718230.0,6.4546
603982.XSHG,2019-06-03,30.24,59033.0,24.74,30.24,31524991.0,24.74,30.24,24.74,842085338.0,63.05
603982.XSHG,2019-06-04,27.21,63475.0,27.21,27.21,38890070.0,22.27,23.0,22.27,964508498.0,77.7801
603982.XSHG,2019-06-05,29.93,56551.0,29.93,29.93,37852345.0,24.49,27.21,25.8,1058671265.0,75.7047
603982.XSHG,2019-06-06,32.92,33429.0,26.94,28.56,19810301.0,26.94,27.0,26.94,545453743.0,39.6206
603982.XSHG,2019-06-10,29.63,43527.0,29.63,29.63,30889572.0,24.25,27.13,26.38,882900631.0,61.7791
603982.XSHG,2019-06-11,32.59,57587.0,32.59,32.59,36123492.0,26.67,29.65,26.88,1073579171.0,72.247
603982.XSHG,2019-06-12,35.85,77914.0,30.12,35.65,36862748.0,29.33,31.1,29.38,1186343643.0,73.7255
603982.XSHG,2019-06-13,33.13,54988.0,27.5,29.85,25346983.0,27.11,28.68,27.45,723454205.0,50.694
603982.XSHG,2019-06-14,30.25,42757.0,24.92,27.32,20668085.0,24.75,26.88,24.8,534954858.0,41.3362
603982.XSHG,2019-06-17,27.41,25053.0,25.07,25.49,13345643.0,22.43,24.8,24.02,333147253.0,26.6913
603982.XSHG,2019-06-18,27.58,26919.0,25.15,26.15,14803811.0,22.56,24.8,24.56,374521183.0,29.6076
603982.XSHG,2019-06-19,27.67,38094.0,26.39,27.29,21932532.0,22.64,25.87,25.21,573312219.0,43.8651
603982.XSHG,2019-06-20,29.03,33169.0,25.89,26.95,17733392.0,23.75,25.25,25.24,460240596.0,35.4668
603982.XSHG,2019-06-21,28.48,33090.0,26.53,26.88,19594849.0,23.3,25.6,25.59,517297719.0,39.1897
603982.XSHG,2019-06-24,29.18,32326.0,25.02,26.54,17672425.0,23.88,26.27,24.59,448778778.0,35.3448
603982.XSHG,2019-06-25,27.52,22014.0,23.76,24.54,12549537.0,22.52,24.5,23.53,299423354.0,25.0991
603982.XSHG,2019-06-26,26.14,20617.0,24.38,24.99,12571706.0,21.38,23.65,23.35,305093788.0,25.1434
603982.XSHG,2019-06-27,26.82,18256.0,23.81,24.65,9836903.0,21.94,24.01,23.63,236655288.0,19.6738
603982.XSHG,2019-06-28,26.19,16874.0,22.83,24.06,9596077.0,21.43,23.8,22.58,224001791.0,19.1922
603982.XSHG,2019-07-01,25.11,12889.0,23.45,23.75,8451464.0,20.55,23.29,23.08,198015550.0,16.9029
603982.XSHG,2019-07-02,25.8,23122.0,24.17,24.55,14513960.0,21.11,23.41,23.14,350283303.0,29.0279
603982.XSHG,2019-07-03,26.59,17655.0,23.18,24.1,9464328.0,21.75,23.85,23.15,221904255.0,18.9287
603982.XSHG,2019-07-04,25.5,15547.0,23.28,24.0,8184443.0,20.86,23.06,23.0,191335351.0,16.3689
