order_book_id,date,limit_up,num_trades,close,high,volume,limit_down,open,low,total_turnover,turnover_rate
600628.XSHG,2016-01-04,777.0353,11946.0,635.6852,712.9982,846673.8073,635.6852,708.703,635.6852,214897235.0,2.3757
600628.XSHG,2016-01-05,699.3318,14376.0,635.2947,655.9896,1021002.4595,572.0386,591.562,581.8003,243343250.0,2.8648
600628.XSHG,2016-01-06,698.9413,11249.0,639.1994,648.1802,749747.5463,571.6481,638.4184,616.9426,180977838.0,2.1037
600628.XSHG,2016-01-07,703.2365,2835.0,576.3337,628.6567,252619.8202,575.1623,628.6567,575.1623,57638010.0,0.7088
600628.XSHG,2016-01-08,634.1233,11423.0,581.4098,597.4191,805981.3415,518.5442,586.0955,549.3913,178473196.0,2.2615
600628.XSHG,2016-01-11,639.5899,10568.0,523.6203,572.0386,834850.6367,523.2298,572.0386,523.2298,174240335.0,2.3425
600628.XSHG,2016-01-12,575.9432,6681.0,527.525,534.5534,503261.3045,471.2973,530.6487,515.8109,101368305.0,1.4121
600628.XSHG,2016-01-13,580.2384,11495.0,521.2774,567.7434,768184.4706,474.8115,544.3152,516.5918,159921974.0,2.1554
600628.XSHG,2016-01-14,573.6004,8626.0,540.02,541.1914,583958.9787,469.3449,497.0683,490.0398,116196905.0,1.6385
600628.XSHG,2016-01-15,593.9049,9022.0,518.1537,552.9055,616690.8541,486.1351,542.3628,513.0776,125673884.0,1.7304
600628.XSHG,2016-01-18,570.0862,6606.0,524.0107,533.7725,464211.4875,466.2212,504.8777,499.8016,92577631.0,1.3025
600628.XSHG,2016-01-19,576.3337,9995.0,546.2675,548.6104,718229.2781,471.6878,525.9631,523.2298,148238893.0,2.0153
600628.XSHG,2016-01-20,600.9333,7177.0,539.2391,548.2199,549314.2429,491.6017,544.3152,534.163,113388417.0,1.5413
600628.XSHG,2016-01-21,593.1239,7065.0,508.3919,538.8486,510606.6807,485.3542,529.4773,507.611,102539701.0,1.4327
600628.XSHG,2016-01-22,559.153,6442.0,526.744,530.2583,466669.3286,457.6308,515.4204,503.7063,91994071.0,1.3094
600628.XSHG,2016-01-25,579.4575,5742.0,532.2106,540.02,431682.606,474.0306,529.4773,524.4012,88047767.0,1.2112
600628.XSHG,2016-01-26,585.3145,7833.0,483.7923,524.4012,537942.8326,479.1067,524.4012,483.4019,103746237.0,1.5094
600628.XSHG,2016-01-27,532.2106,6875.0,475.202,493.9446,540053.4596,435.374,487.3066,449.8214,96533537.0,1.5153
600628.XSHG,2016-01-28,522.8393,10177.0,475.5925,515.4204,733494.2303,427.5646,470.1259,455.288,136922929.0,2.0581
600628.XSHG,2016-01-29,523.2298,8748.0,487.697,495.116,618013.3636,427.9551,467.3926,458.8022,113559799.0,1.7341
600628.XSHG,2016-02-01,536.5058,8325.0,491.2113,511.1252,605389.8114,438.8883,488.0875,478.3258,114032383.0,1.6986
600628.XSHG,2016-02-02,540.4105,7551.0,504.4872,509.5634,566727.8877,442.012,492.3827,484.9637,108522880.0,1.5902
600628.XSHG,2016-02-03,554.8579,5402.0,498.2397,499.0207,417925.9339,454.1166,495.8969,484.9637,78644357.0,1.1726
600628.XSHG,2016-02-04,548.2199,10063.0,522.8393,529.0868,760925.144,448.2596,504.0968,501.754,148569349.0,2.1351
600628.XSHG,2016-02-05,575.1623,10363.0,524.4012,541.1914,761259.3568,470.5164,519.3251,516.2013,154014433.0,2.136
600628.XSHG,2016-02-15,576.7242,6275.0,513.8585,520.4965,468424.9006,472.0782,495.8969,492.3827,91059051.0,1.3143
600628.XSHG,2016-02-16,565.4006,9788.0,539.2391,548.6104,770601.4314,462.3165,515.0299,515.0299,157158903.0,2.1622
600628.XSHG,2016-02-17,593.1239,9795.0,544.3152,554.0769,709256.8011,485.3542,535.7248,534.5534,146922762.0,1.9901
600628.XSHG,2016-02-18,598.5905,11396.0,550.5627,562.6673,865534.5458,490.0398,546.658,537.2867,181888195.0,2.4286
600628.XSHG,2016-02-19,605.619,9121.0,538.4581,547.4389,720998.0771,495.5064,542.7533,530.2583,148069169.0,2.023
600628.XSHG,2016-02-22,592.343,7330.0,541.9724,545.0961,631280.143,484.5733,540.02,534.9439,130436278.0,1.7713
600628.XSHG,2016-02-23,596.2477,6827.0,529.8678,546.2675,514281.2117,487.697,541.9724,522.4489,105013734.0,1.443
600628.XSHG,2016-02-24,582.9717,15638.0,562.2768,563.8387,1264515.9031,476.7639,529.0868,522.8393,264264827.0,3.5481
600628.XSHG,2016-02-25,618.5045,14250.0,506.0491,556.0293,1137853.2166,506.0491,551.7341,506.0491,230948586.0,3.1927
600628.XSHG,2016-02-26,556.8102,8585.0,504.8777,515.8109,649725.9805,455.288,512.6871,487.697,125773349.0,1.8231
600628.XSHG,2016-02-29,555.2483,8265.0,457.6308,502.9254,636461.6137,454.5071,494.335,454.5071,113532421.0,1.7858
600628.XSHG,2016-03-01,503.3158,6502.0,465.8307,470.9068,410662.7203,411.9458,459.9737,449.0405,72545769.0,1.1523
600628.XSHG,2016-03-02,512.2966,7386.0,488.8684,489.6494,580747.6678,419.3648,464.6593,463.8784,106347848.0,1.6295
600628.XSHG,2016-03-03,537.6772,8623.0,493.9446,515.0299,693783.7618,440.0597,488.0875,484.1828,131977071.0,1.9467
600628.XSHG,2016-03-04,543.5342,7859.0,470.1259,491.9922,579210.4365,444.7453,491.9922,464.2688,106068360.0,1.6252
600628.XSHG,2016-03-07,516.9823,4717.0,481.059,486.9161,360500.0438,423.2695,471.2973,471.2973,66257754.0,1.0115
600628.XSHG,2016-03-08,529.0868,6241.0,479.8876,485.7447,427548.4738,433.0312,481.84,455.288,76703800.0,1.1996
600628.XSHG,2016-03-09,527.9154,4995.0,470.9068,490.0398,382800.9556,431.8598,468.564,460.7546,69710861.0,1.0741
600628.XSHG,2016-03-10,518.1537,4591.0,465.0498,479.8876,337573.2621,423.66,470.5164,461.1451,61089111.0,0.9472
600628.XSHG,2016-03-11,511.5157,3559.0,467.7831,469.7354,249289.2864,418.5838,460.7546,458.0213,44262061.0,0.6995
600628.XSHG,2016-03-14,514.6395,6539.0,480.6686,488.0875,508583.2425,420.9267,470.5164,469.3449,93644032.0,1.427
600628.XSHG,2016-03-15,528.6964,5341.0,477.5448,486.1351,411709.3216,432.6408,480.6686,474.421,75607990.0,1.1552
600628.XSHG,2016-03-16,525.1822,5208.0,468.1735,485.3542,397253.5972,429.9075,478.7162,466.6116,71836891.0,1.1146
600628.XSHG,2016-03-17,515.0299,6881.0,480.6686,483.4019,551896.4001,421.3171,474.0306,468.1735,100655202.0,1.5486
600628.XSHG,2016-03-18,528.6964,11354.0,502.5349,504.8777,950387.5295,432.6408,481.059,480.6686,179682294.0,2.6667
600628.XSHG,2016-03-21,552.9055,11262.0,518.1537,531.0392,993517.6643,452.1643,510.7348,508.3919,197147762.0,2.7877
600628.XSHG,2016-03-22,570.0862,11111.0,525.5726,532.9916,897144.828,466.2212,511.9062,510.7348,179874924.0,2.5173
600628.XSHG,2016-03-23,578.2861,6763.0,523.2298,529.0868,563443.7965,472.8592,522.4489,515.8109,112412756.0,1.581
600628.XSHG,2016-03-24,575.5528,7772.0,507.2205,522.4489,656976.863,470.9068,516.9823,506.0491,129037261.0,1.8434
600628.XSHG,2016-03-25,557.9816,11835.0,541.1914,542.3628,911420.2102,456.4594,508.0015,507.611,182722536.0,2.5573
