order_book_id,date,limit_up,num_trades,close,high,volume,limit_down,open,low,total_turnover,turnover_rate
300465.XSHE,2016-01-04,95.71,6107.0,78.45,91.35,2844575.0,78.31,86.2,78.35,249018671.88,8.532
300465.XSHE,2016-01-05,86.3,8047.0,82.33,86.3,3965864.0,70.61,75.32,74.68,324846917.69,11.8952
300465.XSHE,2016-01-06,90.56,9437.0,90.56,90.56,4275311.0,74.1,82.02,82.02,379530436.33,12.8234
300465.XSHE,2016-01-07,99.62,1957.0,81.5,88.5,909000.0,81.5,88.5,81.5,76751654.4,2.7265
300465.XSHE,2016-01-08,89.65,6886.0,86.3,88.8,2910462.0,73.35,84.46,75.01,241281403.36,8.7296
300465.XSHE,2016-01-11,94.93,6288.0,78.1,84.66,2273342.0,77.67,82.5,77.67,182175313.08,6.8187
300465.XSHE,2016-01-12,85.91,5074.0,75.7,80.6,1945400.0,70.29,76.8,72.8,148605854.53,5.835
300465.XSHE,2016-01-13,83.27,5424.0,68.13,77.4,2134203.0,68.13,76.5,68.13,151271845.47,6.4013
300465.XSHE,2016-01-14,74.94,8238.0,67.9,70.0,3156249.0,61.32,62.0,61.32,204571678.78,9.4669
300465.XSHE,2016-01-15,74.69,6120.0,61.11,67.9,2234568.0,61.11,65.9,61.11,143951900.77,6.7024
300465.XSHE,2016-01-18,67.22,5393.0,62.08,63.88,2168171.0,55.0,58.0,56.65,132132230.54,6.5032
300465.XSHE,2016-01-19,68.29,7476.0,68.2,68.26,2956163.0,55.87,61.45,61.0,195157542.77,8.8667
300465.XSHE,2016-01-20,75.02,4941.0,66.6,69.95,2082081.0,61.38,67.0,66.0,141604170.28,6.245
300465.XSHE,2016-01-21,73.26,4506.0,63.79,68.5,1808671.0,59.94,66.0,63.5,120881326.89,5.4249
300465.XSHE,2016-01-22,70.17,4742.0,63.15,66.0,1675378.0,57.41,64.87,57.5,104176283.52,5.0251
300465.XSHE,2016-01-25,69.47,4951.0,62.1,65.0,1999042.0,56.84,64.02,60.02,124345652.65,5.9959
300465.XSHE,2016-01-26,68.31,5382.0,55.89,61.6,2177620.0,55.89,61.0,55.89,125680004.13,6.5316
300465.XSHE,2016-01-27,61.48,6825.0,52.29,54.89,2962151.0,50.3,53.99,50.3,153177861.02,8.8847
300465.XSHE,2016-01-28,57.52,5155.0,47.56,50.9,2082971.0,47.06,50.88,47.06,101643184.71,6.2477
300465.XSHE,2016-01-29,52.32,5575.0,51.1,52.3,2405262.0,42.8,47.3,47.25,121383905.4,7.2143
300465.XSHE,2016-02-01,56.21,4559.0,49.2,51.14,1920666.0,45.99,51.14,47.66,94314410.86,5.7608
300465.XSHE,2016-02-02,54.12,5613.0,54.12,54.12,2451072.0,44.28,49.0,48.8,129065307.64,7.3517
300465.XSHE,2016-02-03,59.53,4190.0,54.6,55.18,1765946.0,48.71,53.05,52.5,95565629.67,5.2968
300465.XSHE,2016-02-04,60.06,4360.0,56.57,58.88,1929153.0,49.14,54.1,53.91,109487917.1,5.7863
300465.XSHE,2016-02-05,62.23,3251.0,55.18,57.99,1471952.0,50.91,56.5,54.8,82324443.1,4.415
300465.XSHE,2016-02-15,60.7,2738.0,54.1,54.67,1133523.0,49.66,52.99,50.8,59952105.43,3.3999
300465.XSHE,2016-02-16,59.51,3709.0,57.6,58.5,1481711.0,48.69,54.4,54.4,85004762.85,4.4442
300465.XSHE,2016-02-17,63.36,4308.0,58.55,59.5,1752020.0,51.84,57.9,56.3,101785541.99,5.255
300465.XSHE,2016-02-18,64.41,4855.0,58.6,60.95,2105347.0,52.7,58.7,57.72,124503121.88,6.3148
300465.XSHE,2016-02-19,64.46,4156.0,58.36,59.6,1859365.0,52.74,57.9,57.51,108689535.13,5.577
300465.XSHE,2016-02-22,64.2,3639.0,59.39,59.97,1483175.0,52.52,59.05,58.22,87393734.09,4.4486
300465.XSHE,2016-02-23,65.33,8081.0,55.36,59.55,3352636.0,53.45,59.55,54.2,189629663.62,10.0559
300465.XSHE,2016-02-24,60.9,7559.0,53.19,56.09,3098180.0,49.82,54.66,50.41,163659559.75,9.2927
300465.XSHE,2016-02-25,58.51,6306.0,47.99,53.0,3050419.0,47.87,52.3,47.87,152469073.03,9.1494
300465.XSHE,2016-02-26,52.79,4343.0,47.7,49.48,1951460.0,43.19,48.0,46.1,93958327.2,5.8532
300465.XSHE,2016-02-29,52.47,3382.0,42.93,47.38,1494329.0,42.93,47.3,42.93,65537762.19,4.4821
300465.XSHE,2016-03-01,47.22,6701.0,42.71,43.69,3809741.0,38.64,42.8,39.39,158341471.42,11.4269
300465.XSHE,2016-03-02,46.98,6006.0,45.3,45.38,3117234.0,38.44,42.5,42.02,136904673.17,9.3498
300465.XSHE,2016-03-03,49.83,7456.0,44.85,47.89,3917637.0,40.77,45.74,44.75,180514993.42,11.7506
300465.XSHE,2016-03-04,49.34,6986.0,40.52,44.2,3186364.0,40.37,44.2,40.45,134155992.47,9.5572
300465.XSHE,2016-03-07,44.57,4090.0,44.57,44.57,3284430.0,36.47,41.0,41.0,144672768.62,9.8513
300465.XSHE,2016-03-08,49.03,15087.0,48.15,49.03,7566603.0,40.11,45.4,42.0,350657775.54,22.6953
300465.XSHE,2016-03-09,52.97,15041.0,48.76,50.56,6262637.0,43.34,46.38,45.15,304469302.89,18.7842
300465.XSHE,2016-03-10,53.64,11057.0,47.85,49.49,3956076.0,43.88,48.0,46.38,189647791.59,11.8659
300465.XSHE,2016-03-11,52.64,12928.0,52.64,52.64,5175013.0,43.07,46.13,46.12,257912499.98,15.5219
300465.XSHE,2016-03-14,57.9,7869.0,57.9,57.9,4493640.0,47.38,55.04,55.01,256028972.29,13.4782
300465.XSHE,2016-03-15,63.69,23802.0,57.28,62.62,9084530.0,52.11,60.44,55.84,532147574.31,27.2481
300465.XSHE,2016-03-16,63.01,19995.0,57.46,59.85,7015682.0,51.55,57.6,54.51,399591279.6,21.0428
