order_book_id,date,limit_up,num_trades,close,high,volume,limit_down,open,low,total_turnover,turnover_rate
688687.XSHG,2021-02-08,0.0,0.0,42.0,70.0,27940382.0,0.0,59.0,41.99,1471211503.0,72.34
688687.XSHG,2021-02-09,0.0,0.0,32.12,40.97,18593877.0,0.0,40.2,31.72,660665371.0,48.1411
688687.XSHG,2021-02-10,0.0,0.0,32.75,34.6,10218765.0,0.0,32.66,31.83,340790918.0,26.4572
688687.XSHG,2021-02-18,0.0,0.0,31.93,34.09,7904463.0,0.0,33.39,31.85,259824563.0,20.4653
688687.XSHG,2021-02-19,0.0,0.0,30.21,31.8,7301309.0,0.0,31.48,29.55,220937229.0,18.9037
688687.XSHG,2021-02-22,36.25,0.0,30.16,31.06,5306603.0,24.17,30.21,29.99,161421618.0,13.7392
688687.XSHG,2021-02-23,36.19,0.0,29.18,29.99,4633677.0,24.13,29.95,29.03,135971018.0,11.997
688687.XSHG,2021-02-24,35.02,0.0,29.49,30.46,3792180.0,23.34,29.87,29.23,113176468.0,9.8183
688687.XSHG,2021-02-25,35.39,0.0,30.51,30.89,4657687.0,23.59,29.89,29.88,141809780.0,12.0591
688687.XSHG,2021-02-26,36.61,0.0,30.2,30.57,3365782.0,24.41,30.13,29.75,101377146.0,8.7143
688687.XSHG,2021-03-01,36.24,0.0,30.26,31.03,2420098.0,24.16,31.03,30.03,73415264.0,6.2658
688687.XSHG,2021-03-02,36.31,0.0,29.1,30.47,3126532.0,24.21,30.47,29.07,92221830.0,8.0949
688687.XSHG,2021-03-03,34.92,0.0,28.71,29.19,2617419.0,23.28,29.01,28.21,74738142.0,6.7767
688687.XSHG,2021-03-04,34.45,0.0,27.67,28.9,2744221.0,22.97,28.63,27.6,77377827.0,7.105
688687.XSHG,2021-03-05,33.2,0.0,28.21,28.74,2932976.0,22.14,27.6,27.16,82096711.0,7.5937
688687.XSHG,2021-03-08,33.85,0.0,29.36,30.44,4642430.0,22.57,28.32,28.32,138054505.0,12.0196
