order_book_id,date,limit_up,num_trades,close,high,volume,limit_down,open,low,total_turnover,turnover_rate
600261.XSHG,2016-01-04,157.6781,8458.0,132.567,147.7315,1121631.1806,128.9797,143.818,130.4472,130112073.0,1.0309
600261.XSHG,2016-01-05,145.7747,16187.0,137.6218,138.274,2664731.8172,119.3592,119.3592,119.3592,280254669.0,2.4492
600261.XSHG,2016-01-06,151.3188,11289.0,141.3722,141.5352,1406437.2854,123.9248,136.1543,130.4472,158438088.0,1.2927
600261.XSHG,2016-01-07,155.5583,2443.0,128.0013,138.111,392665.0446,127.186,136.9696,127.186,42283529.0,0.3609
600261.XSHG,2016-01-08,140.883,9658.0,134.3606,137.7849,1308721.0955,115.1197,132.0778,127.186,143426736.0,1.2029
600261.XSHG,2016-01-11,147.7315,11596.0,133.0561,140.0677,1444991.8426,120.9898,132.0778,129.1427,161253644.0,1.3281
600261.XSHG,2016-01-12,146.427,7641.0,129.795,133.0561,1097077.8334,119.6853,131.2625,126.6968,116878501.0,1.0084
600261.XSHG,2016-01-13,142.8397,6406.0,127.3491,134.0345,760279.3933,116.7502,129.958,127.186,81576110.0,0.6988
600261.XSHG,2016-01-14,140.0677,6727.0,131.5886,132.0778,818489.6351,114.6305,123.5987,120.6637,85324603.0,0.7523
600261.XSHG,2016-01-15,144.7964,9524.0,130.2841,138.4371,1108497.0714,118.3808,130.7733,128.8166,121456756.0,1.0189
600261.XSHG,2016-01-18,143.3289,6666.0,132.567,133.5453,802499.3304,117.2394,124.7401,123.9248,85302753.0,0.7376
600261.XSHG,2016-01-19,145.7747,8220.0,137.7849,138.4371,1058924.8714,119.3592,131.2625,130.2841,117012997.0,0.9733
600261.XSHG,2016-01-20,151.6449,12139.0,140.7199,143.3289,1584299.1284,123.9248,136.1543,135.339,180740915.0,1.4562
600261.XSHG,2016-01-21,154.743,10096.0,132.2408,142.5136,1256430.6359,126.6968,138.6002,131.2625,141891207.0,1.1548
600261.XSHG,2016-01-22,145.4486,7791.0,132.0778,136.3173,1016176.9416,119.0331,134.5237,128.8166,110296935.0,0.934
600261.XSHG,2016-01-25,145.2856,16231.0,145.2856,145.2856,2164539.149,118.87,133.3823,132.0778,247240753.0,1.9895
600261.XSHG,2016-01-26,159.7978,23531.0,136.9696,148.0576,3646742.3778,130.7733,145.2856,131.2625,421494854.0,3.3518
600261.XSHG,2016-01-27,150.6665,15102.0,125.8815,134.8498,1953878.3714,123.2726,133.0561,123.2726,203541166.0,1.7959
600261.XSHG,2016-01-28,138.4371,10484.0,114.4674,125.3924,1530693.9691,113.326,123.7618,113.9782,150032689.0,1.4069
600261.XSHG,2016-01-29,125.8815,7902.0,117.2394,120.9898,1133673.4155,103.0533,114.3044,114.1413,109533019.0,1.042
600261.XSHG,2016-02-01,128.9797,6028.0,114.4674,118.5439,741776.1969,105.4992,117.4025,111.8585,70150041.0,0.6818
600261.XSHG,2016-02-02,125.8815,5582.0,120.3375,121.1528,716464.2395,103.0533,115.2827,114.9566,69735462.0,0.6585
600261.XSHG,2016-02-03,132.4039,3558.0,120.0114,121.8051,457982.921,108.2712,119.0331,117.8917,44827999.0,0.4209
600261.XSHG,2016-02-04,132.0778,4882.0,121.9681,123.4357,539085.3596,107.9451,120.0114,120.0114,53836337.0,0.4955
600261.XSHG,2016-02-05,134.1976,3437.0,121.1528,123.1095,289445.4278,109.7387,122.4573,120.9898,28866806.0,0.266
600261.XSHG,2016-02-15,133.2192,2109.0,120.0114,121.479,245909.6673,109.0865,115.4458,115.1197,23941682.0,0.226
600261.XSHG,2016-02-16,132.0778,4684.0,124.5771,125.2293,450119.4483,107.9451,119.8484,119.8484,45570314.0,0.4137
600261.XSHG,2016-02-17,136.9696,4289.0,125.2293,125.3924,549228.8587,112.1846,123.7618,120.6637,55527707.0,0.5048
600261.XSHG,2016-02-18,137.7849,5249.0,127.023,128.4905,826328.5325,112.6738,125.0663,124.7401,85707242.0,0.7595
600261.XSHG,2016-02-19,139.7416,3270.0,125.8815,128.0013,369855.6393,114.3044,125.5554,124.7401,38115279.0,0.3399
600261.XSHG,2016-02-22,138.4371,9849.0,131.5886,133.7084,925193.0148,113.326,126.0446,126.0446,98793068.0,0.8504
600261.XSHG,2016-02-23,144.7964,4485.0,132.567,133.5453,527797.3143,118.3808,131.5886,129.3058,56615650.0,0.4851
600261.XSHG,2016-02-24,145.7747,5238.0,136.1543,136.6434,624893.9538,119.3592,132.0778,130.4472,68163818.0,0.5744
600261.XSHG,2016-02-25,149.8512,10734.0,126.0446,141.6983,1358318.9947,122.6204,138.4371,125.7185,147931818.0,1.2485
600261.XSHG,2016-02-26,138.6002,4703.0,127.023,129.4688,514830.8861,113.4891,127.186,123.5987,53356030.0,0.4732
600261.XSHG,2016-02-29,139.7416,5564.0,119.5222,125.5554,631860.0561,114.3044,125.5554,118.3808,62273169.0,0.5808
600261.XSHG,2016-03-01,131.4256,6276.0,120.0114,121.1528,778893.1783,107.6189,120.3375,117.0764,76099908.0,0.7159
600261.XSHG,2016-03-02,132.0778,5178.0,124.0879,124.9032,905265.1296,107.9451,118.5439,118.5439,90665202.0,0.8321
600261.XSHG,2016-03-03,136.4804,4466.0,123.4357,126.3707,736565.2751,111.6954,124.251,122.7834,75136544.0,0.677
600261.XSHG,2016-03-04,135.8281,8357.0,118.87,123.9248,1064825.5477,111.0432,122.7834,117.5655,104368796.0,0.9787
600261.XSHG,2016-03-07,130.7733,4158.0,120.0114,122.6204,490628.4102,106.9667,118.87,118.87,48381867.0,0.451
600261.XSHG,2016-03-08,132.0778,4697.0,120.0114,120.1745,457629.727,107.9451,120.0114,115.9349,44343901.0,0.4206
600261.XSHG,2016-03-09,132.0778,3420.0,118.2178,120.5006,386809.8473,107.9451,118.3808,116.7502,37536645.0,0.3555
600261.XSHG,2016-03-10,130.1211,2501.0,117.4025,119.6853,296897.0407,106.4775,117.5655,116.7502,28626618.0,0.2729
600261.XSHG,2016-03-11,129.1427,2326.0,118.0547,118.3808,242041.8416,105.6622,117.0764,116.2611,23258163.0,0.2225
600261.XSHG,2016-03-14,129.795,5680.0,122.4573,123.4357,690998.9866,106.3145,119.0331,118.707,68928613.0,0.6351
600261.XSHG,2016-03-15,134.6867,3535.0,119.8484,122.2942,422069.676,110.2279,120.5006,119.5222,41611378.0,0.3879
600261.XSHG,2016-03-16,131.9147,2167.0,119.6853,121.642,258149.3282,107.9451,120.0114,118.707,25341548.0,0.2373
600261.XSHG,2016-03-17,131.5886,4303.0,122.6204,123.4357,578543.7306,107.782,119.3592,119.3592,57671197.0,0.5318
600261.XSHG,2016-03-18,134.8498,5373.0,125.0663,126.8599,763488.7829,110.3909,122.6204,122.2942,78313305.0,0.7017
600261.XSHG,2016-03-21,137.6218,5980.0,126.8599,127.5121,632865.3926,112.5107,126.2077,124.7401,65351058.0,0.5817
600261.XSHG,2016-03-22,139.5785,5255.0,128.1644,129.958,674624.0946,114.1413,126.5338,124.7401,70977582.0,0.6201
600261.XSHG,2016-03-23,141.046,3515.0,127.6752,128.6536,534359.9484,115.2827,127.3491,125.8815,55550876.0,0.4911
600261.XSHG,2016-03-24,140.3938,3243.0,125.5554,127.3491,588977.562,114.9566,127.3491,124.9032,60708316.0,0.5413
600261.XSHG,2016-03-25,138.111,4436.0,125.7185,126.6968,555018.3471,112.9999,125.2293,124.414,56955717.0,0.5101
600261.XSHG,2016-03-28,138.274,6967.0,129.4688,131.7517,1065551.7906,113.1629,126.0446,126.0446,112960585.0,0.9794
600261.XSHG,2016-03-29,142.3505,4777.0,128.6536,131.4256,611896.8815,116.5872,129.1427,127.8383,64834993.0,0.5624
600261.XSHG,2016-03-30,141.5352,4806.0,131.7517,132.0778,590698.4271,115.7719,128.9797,128.9797,63181147.0,0.5429
600261.XSHG,2016-03-31,144.9595,4764.0,131.5886,132.4039,613849.1883,118.5439,131.9147,129.1427,65601334.0,0.5642
600261.XSHG,2016-04-01,144.7964,3898.0,129.958,131.9147,460181.5794,118.3808,130.6103,128.0013,48987559.0,0.423
600261.XSHG,2016-04-05,143.0027,4810.0,131.9147,132.4039,673522.4801,116.9133,129.958,129.3058,72280970.0,0.6191
600261.XSHG,2016-04-06,145.1225,6819.0,130.1211,132.4039,1397980.0364,118.707,132.4039,129.958,149514902.0,1.2849
600261.XSHG,2016-04-07,143.1658,7156.0,130.1211,131.4256,838063.727,117.0764,131.0994,128.8166,89189200.0,0.7703
600261.XSHG,2016-04-08,143.1658,4284.0,128.1644,129.795,651001.0096,117.0764,129.6319,127.6752,68557991.0,0.5984
600261.XSHG,2016-04-11,141.046,15882.0,130.4472,130.7733,3787870.7778,115.2827,129.4688,127.6752,397662780.0,3.4816
600261.XSHG,2016-04-12,143.4919,7829.0,128.1644,129.4688,1430769.3806,117.4025,128.3274,127.186,150117085.0,1.3151
600261.XSHG,2016-04-13,141.046,8711.0,128.9797,130.6103,1386444.2159,115.2827,128.3274,128.3274,147218279.0,1.2743
600261.XSHG,2016-04-14,141.8613,5435.0,129.3058,129.795,835954.3785,116.098,129.1427,126.8599,88199143.0,0.7684
600261.XSHG,2016-04-15,142.1874,6555.0,127.8383,129.6319,1000601.119,116.4241,129.1427,126.8599,104788804.0,0.9197
600261.XSHG,2016-04-18,140.5569,8538.0,123.5987,127.3491,1060303.2568,115.1197,127.3491,122.9465,107991635.0,0.9746
600261.XSHG,2016-04-19,135.9912,5817.0,123.4357,124.9032,809789.6308,111.2062,124.0879,122.1312,81823166.0,0.7443
600261.XSHG,2016-04-20,135.8281,9434.0,118.5439,124.0879,1123967.0257,111.0432,123.4357,116.7502,110606987.0,1.0331
600261.XSHG,2016-04-21,130.4472,5198.0,118.5439,119.8484,503048.4892,106.6406,118.2178,118.2178,48987711.0,0.4624
600261.XSHG,2016-04-22,130.4472,4108.0,119.0331,119.1961,484031.6856,106.6406,118.2178,117.5655,46933971.0,0.4449
600261.XSHG,2016-04-25,130.9364,4305.0,119.5222,119.6853,539122.0726,107.1298,119.1961,116.5872,52108014.0,0.4955
600261.XSHG,2016-04-26,131.4256,4539.0,120.1745,120.1745,481634.5522,107.6189,119.5222,118.3808,47096859.0,0.4427
600261.XSHG,2016-04-27,132.2408,3650.0,120.0114,121.1528,405057.4015,108.1081,120.1745,119.5222,39939644.0,0.3723
600261.XSHG,2016-04-28,132.0778,2760.0,119.6853,120.5006,325811.8909,107.9451,120.5006,117.4025,31796418.0,0.2995
600261.XSHG,2016-04-29,131.5886,2906.0,121.479,121.8051,350366.2121,107.782,119.5222,118.87,34465917.0,0.322
600261.XSHG,2016-05-03,133.7084,6410.0,122.4573,122.6204,901325.2265,109.4126,121.1528,118.0547,89222488.0,0.8284
600261.XSHG,2016-05-04,134.6867,4752.0,121.9681,122.9465,637776.8412,110.2279,121.3159,120.8267,63772874.0,0.5862
600261.XSHG,2016-05-05,134.1976,4196.0,122.2942,122.6204,579207.7862,109.7387,121.479,120.5006,57633525.0,0.5324
600261.XSHG,2016-05-06,134.5237,4965.0,118.3808,122.2942,635346.5163,110.0648,122.1312,118.2178,62454184.0,0.584
600261.XSHG,2016-05-09,130.2841,4936.0,116.5872,118.87,596331.0238,106.4775,117.7286,115.4458,56856483.0,0.5481
600261.XSHG,2016-05-10,128.3274,2599.0,116.9133,117.4025,349703.2804,105.01,116.098,115.7719,33357516.0,0.3214
600261.XSHG,2016-05-11,128.6536,2023.0,116.2611,117.8917,252736.485,105.1731,117.4025,115.9349,24153962.0,0.2323
600261.XSHG,2016-05-12,127.8383,2320.0,116.098,116.4241,277081.692,104.6839,116.098,114.1413,26167509.0,0.2547
600261.XSHG,2016-05-13,127.6752,1929.0,116.4241,117.2394,221969.0524,104.5208,116.4241,115.4458,21122277.0,0.204
600261.XSHG,2016-05-16,128.0013,4576.0,117.8917,118.0547,619051.1191,104.8469,116.7502,115.2827,59097849.0,0.569
600261.XSHG,2016-05-17,129.7136,3180.0,117.2252,118.5573,326243.0063,106.0688,118.3907,116.8921,30721606.0,0.2999
600261.XSHG,2016-05-18,128.8811,4101.0,115.3935,118.3907,406243.3809,105.5692,116.8921,113.3954,37535499.0,0.3734
600261.XSHG,2016-05-19,126.8829,6226.0,119.7228,119.8894,851836.3425,103.9041,115.3935,114.7275,80668391.0,0.783
600261.XSHG,2016-05-20,131.7118,4938.0,118.7238,119.8894,687256.6594,107.7339,119.8894,115.893,64907027.0,0.6317
600261.XSHG,2016-05-23,130.5462,3791.0,118.3907,119.0568,524063.2288,106.9013,118.2242,117.5582,49604477.0,0.4817
600261.XSHG,2016-05-24,130.2132,3103.0,116.7256,118.7238,441976.1328,106.5683,117.8912,115.893,41390581.0,0.4062
600261.XSHG,2016-05-25,128.3815,2117.0,115.893,117.8912,247082.9095,105.0697,117.2252,115.893,23097039.0,0.2271
600261.XSHG,2016-05-26,127.549,2581.0,116.2261,116.8921,260217.768,104.2371,116.3926,114.5609,24116770.0,0.2392
600261.XSHG,2016-05-27,127.882,1908.0,116.3926,117.0586,209347.3517,104.5702,115.56,115.3935,19528851.0,0.1924
600261.XSHG,2016-05-30,128.0485,2499.0,116.0596,117.2252,263501.3327,104.7367,116.0596,115.3935,24563670.0,0.2422
600261.XSHG,2016-05-31,127.7155,4501.0,119.3898,119.5563,591373.4217,104.4037,116.0596,115.7265,56092628.0,0.5436
600261.XSHG,2016-06-01,131.3788,4107.0,118.5573,119.7228,538169.333,107.4009,118.7238,118.3907,51360050.0,0.4946
600261.XSHG,2016-06-02,130.3797,3125.0,118.5573,119.0568,530313.6525,106.7348,118.5573,117.5582,50282422.0,0.4874
600261.XSHG,2016-06-03,130.3797,3387.0,119.2233,120.2224,539265.9275,106.7348,118.5573,117.8912,51573812.0,0.4957
600261.XSHG,2016-06-06,131.2122,2783.0,119.3898,120.5554,454560.1466,107.2344,119.7228,118.8903,43588756.0,0.4178
600261.XSHG,2016-06-07,131.3788,2336.0,118.7238,119.8894,347158.7706,107.4009,119.2233,118.2242,33008010.0,0.3191
600261.XSHG,2016-06-08,130.5462,2108.0,118.8903,119.2233,317768.15,106.9013,118.8903,117.8912,30221129.0,0.2921
600261.XSHG,2016-06-13,130.7127,4063.0,115.893,118.7238,516061.7453,107.0679,118.2242,115.7265,48367912.0,0.4743
600261.XSHG,2016-06-14,127.549,2134.0,115.893,116.8921,275525.2861,104.2371,115.0605,114.894,25542993.0,0.2532
