order_book_id,date,limit_up,num_trades,close,high,volume,limit_down,open,low,total_turnover,turnover_rate
301062.XSHE,2021-09-14,0.0,77001.0,22.8,23.18,29849910.0,0.0,17.8,15.78,514067946.82,72.7561
301062.XSHE,2021-09-15,0.0,33929.0,18.55,20.66,22233401.0,0.0,19.1,18.23,433136075.24,54.1917
301062.XSHE,2021-09-16,0.0,26440.0,17.06,19.18,19316371.0,0.0,17.48,16.81,346757730.5,47.0817
301062.XSHE,2021-09-17,0.0,26041.0,17.7,19.23,21162991.0,0.0,17.0,16.38,371886289.59,51.5827
301062.XSHE,2021-09-22,0.0,20467.0,18.24,19.52,15822849.0,0.0,17.01,17.01,291053603.22,38.5666
301062.XSHE,2021-09-23,21.89,19024.0,19.33,20.5,15849332.0,14.59,18.3,17.81,304861848.33,38.6311
301062.XSHE,2021-09-24,23.2,16346.0,16.67,18.3,13496877.0,15.46,17.99,16.65,233333057.5,32.8973
301062.XSHE,2021-09-27,20.0,12475.0,15.13,16.48,9787822.0,13.34,16.42,14.96,151322369.38,23.8568
301062.XSHE,2021-09-28,18.16,8086.0,15.36,15.48,5946085.0,12.1,15.1,14.48,89210955.79,14.493
301062.XSHE,2021-09-29,18.43,10175.0,14.5,15.39,6707323.0,12.29,14.98,14.18,98939159.23,16.3484
301062.XSHE,2021-09-30,17.4,8319.0,14.95,15.13,4331074.0,11.6,14.64,14.31,63935957.43,10.5566
301062.XSHE,2021-10-08,17.94,8348.0,15.67,17.29,5849128.0,11.96,15.31,15.31,93501271.47,14.2567
301062.XSHE,2021-10-11,18.8,6454.0,15.73,16.14,4227422.0,12.54,15.14,15.14,66106769.31,10.3039
301062.XSHE,2021-10-12,18.88,6752.0,15.02,15.73,4713001.0,12.58,15.73,14.65,70819410.99,11.4875
301062.XSHE,2021-10-13,18.02,10141.0,16.06,16.08,7295876.0,12.02,14.98,14.82,113820969.81,17.783
301062.XSHE,2021-10-14,19.27,5679.0,15.76,15.94,4367975.0,12.85,15.71,15.47,68442369.69,10.6465
301062.XSHE,2021-10-15,18.91,8292.0,16.09,16.27,5644476.0,12.61,15.77,15.3,88981989.24,13.7578
301062.XSHE,2021-10-18,19.31,8563.0,16.35,16.44,5910963.0,12.87,15.9,15.7,95196840.89,14.4074
301062.XSHE,2021-10-19,19.62,7669.0,15.78,16.5,5943427.0,13.08,16.36,15.7,94649334.6,14.4865
301062.XSHE,2021-10-20,18.94,6568.0,15.07,15.56,5083846.0,12.62,15.45,14.89,76886895.59,12.3914
301062.XSHE,2021-10-21,18.08,4351.0,15.17,15.37,3192538.0,12.06,15.08,14.93,48252508.0,7.7815
301062.XSHE,2021-10-22,18.2,5778.0,14.57,15.16,4833352.0,12.14,15.16,14.4,71248487.53,11.7808
301062.XSHE,2021-10-25,17.48,4153.0,14.86,14.97,2926842.0,11.66,14.67,14.5,43135420.07,7.1339
301062.XSHE,2021-10-26,17.83,8410.0,15.4,15.7,7239504.0,11.89,15.2,14.99,111140755.48,17.6456
301062.XSHE,2021-10-27,18.48,6892.0,15.47,15.66,5857623.0,12.32,15.39,15.0,90138817.06,14.2774
301062.XSHE,2021-10-28,18.56,6706.0,14.33,15.46,5400932.0,12.38,15.35,14.06,78449483.72,13.1642
301062.XSHE,2021-10-29,17.2,4606.0,14.79,14.8,3448166.0,11.46,14.41,14.41,50572466.65,8.4046
301062.XSHE,2021-11-01,17.75,5595.0,14.9,15.38,3718961.0,11.83,15.3,14.78,55821049.19,9.0646
301062.XSHE,2021-11-02,17.88,6292.0,14.6,15.27,3777404.0,11.92,14.86,14.57,56473132.86,9.207
301062.XSHE,2021-11-03,17.52,13070.0,15.63,15.88,7622116.0,11.68,14.63,14.63,117305441.6,18.5781
301062.XSHE,2021-11-04,18.76,12907.0,16.4,16.57,9049286.0,12.5,15.65,15.32,143417300.77,22.0567
301062.XSHE,2021-11-05,19.68,11681.0,15.97,16.54,6971279.0,13.12,16.49,15.83,112359696.69,16.9918
301062.XSHE,2021-11-08,19.16,6847.0,16.0,16.25,4304709.0,12.78,15.78,15.7,68532773.45,10.4923
301062.XSHE,2021-11-09,19.2,12523.0,15.67,16.25,5982657.0,12.8,16.07,15.59,95100651.88,14.5821
301062.XSHE,2021-11-10,18.8,9449.0,16.15,16.4,5966272.0,12.54,15.71,15.6,95814949.41,14.5422
301062.XSHE,2021-11-11,19.38,13545.0,16.6,17.05,7814773.0,12.92,16.11,16.01,129595629.99,19.0477
301062.XSHE,2021-11-12,19.92,12961.0,17.28,17.55,7721952.0,13.28,16.41,16.3,131059592.94,18.8215
301062.XSHE,2021-11-15,20.74,13293.0,17.6,18.0,7185695.0,13.82,17.2,16.8,125906359.89,17.5144
301062.XSHE,2021-11-16,21.12,10078.0,16.94,17.81,5076173.0,14.08,17.64,16.85,87725028.15,12.3727
301062.XSHE,2021-11-17,20.33,7938.0,17.0,17.38,3610208.0,13.55,16.94,16.7,61033121.8,8.7995
301062.XSHE,2021-11-18,20.4,6822.0,16.85,17.05,3081287.0,13.6,17.01,16.65,51820136.24,7.5103
301062.XSHE,2021-11-19,20.22,17750.0,17.67,18.5,8138252.0,13.48,17.13,16.81,142439507.84,19.8362
301062.XSHE,2021-11-22,21.2,10767.0,18.15,18.18,5893654.0,14.14,17.53,17.41,105187978.69,14.3652
301062.XSHE,2021-11-23,21.78,9715.0,17.9,18.45,5213942.0,14.52,18.15,17.85,94442885.43,12.7085
301062.XSHE,2021-11-24,21.48,18751.0,19.14,20.45,9464345.0,14.32,17.89,17.85,179667318.22,23.0684
301062.XSHE,2021-11-25,22.97,18729.0,20.74,21.3,11291578.0,15.31,18.78,18.62,224814467.15,27.5221
301062.XSHE,2021-11-26,24.89,17330.0,19.2,20.5,9303336.0,16.59,20.3,18.97,182537163.95,22.6759
301062.XSHE,2021-11-29,23.04,11198.0,18.84,19.1,5087021.0,15.36,18.8,18.5,95454213.46,12.3991
